	T1	n1	T2	n2	T3	n3	T4	n4	T5	n5	T6	n6	T7	n7	T8	n8	T9	n9	T10	n10	T11	n11	T12	n12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	n27	T27	T28	n28	n29	T29	T30	T31	T32	n32	T33	n33	n34	T34	T35	n35	n36	T36	T37	T38	T39	n39	T40	n40
R34098	47.55625	251.36	47.15625	80.49625	110.0175	53.225	40.6925	65.1375	52.91	278.5013	321.7375	125.205	258.8275	104.4063	81.40125	122.4463	89.84875	95.22875	31.11375	140.7413	114.9825	259.3213	153.9813	59.9475	145.1063	132.525	193.5738	212.6788	453.0713	300.41	288.3938	173.8975	119.3013	205.93	69.47375	190.6975	164.4813	194.695	144.79	158.02	33.6525	89.49	514.795	465.5838	505.0988	273.2	449.5738	444.3863	175.8925	212.115	91.6825	112.2575	42.465	112.4325	73.23375	99.445	83.1775	27.79125	233.8688	222.9988	113.4475	104.7588
R34698	692.5425	242.655	180.5838	200.7738	304.5475	553.7675	396.6338	503.4863	1879.171	391.7475	1777.085	593.8888	787.09	292.9625	1211.734	374.125	563.2138	337.29	1227.965	240.9538	2235.579	349.1375	341.49	153.4725	2093.631	477.8325	461.5388	1176.076	1498.034	1398.285	929.315	565.6038	538.4675	1700.618	1549.391	1312.254	1754.433	1517.169	272.3975	384.1975	818.6975	1201.331	1615.404	3450.174	1006.423	4171.084	4170.565	1123.754	168.2788	698.2938	387.1212	1947.628	1458.823	650.83	1453.174	552.3888	473.8413	576.9037	307.3163	975.555	1235.808	804.8325
R34701	290.8025	474.35	89.7175	324.2125	334.4413	400.2138	645.9188	496.085	559.8688	1280.686	1763.711	542.6988	646.2888	421.9275	679.5363	135.8713	104.4625	181.36	351.1025	707.6013	673.37	871.1125	270.6688	110.6575	781.6913	605.9513	811.935	1165.99	2455.474	1507.131	1325.811	588.6725	896.8075	1122.999	574.0338	429.495	907.815	363.5463	1052.46	551.9713	320.9463	734.1963	579.2625	798.0738	1685.17	1166.548	466.0038	1545.383	541.0912	378.63	862.15	1066.855	443.5688	648.715	821.0163	426.4463	119.6363	275.5125	744.3063	883.7263	276.4725	469.6788
R34876	201.4825	254.205	45.9175	107.2188	87.18375	23.99375	94.1625	57.64125	229.6613	62.015	118.465	201.5575	93.1075	46.59	182.7863	155.4375	26.0425	11.41625	105.4825	13.38375	239.0925	198.1375	28.52375	11.97	217.7	217.4213	127.4563	472.9938	348.815	265.8538	298.4525	70.24375	94.84625	276.825	205.65	150.91	186.795	187.3488	159.245	229.1675	284.94	138.5363	244.32	201.3513	426.9375	270.19	419.7488	197.5288	95.4875	99.28375	115.9125	224.1225	297.6125	259.9563	165.9863	104.6625	152.7625	198.7225	225.8138	145.7388	156.3725	164.07
R35665	188.57	169.8875	133.2038	114.4813	244.0575	261.5075	180.4212	223.1625	312.425	490.96	717.92	357.3925	103.315	82.06875	162.5575	116.5363	31.09375	32.235	96.2075	295.425	288.195	337.6825	87.62375	41.12125	98.845	114.5788	97.64	115.245	417.67	271.8775	91.42625	100.5263	114.82	147.4075	29.26625	75.02375	438.5388	65.0325	113.625	80.15125	14.5175	193.24	62.9825	145.18	204.445	194.7337	208.64	165.8475	108.6175	63.87	145.2075	88.75375	98.685	75.75875	148.5963	101.2525	104.9875	48.92	114.1963	126.4413	47.02875	90.33625
R35885	28.72375	41.49625	17.7425	21.28375	49.2475	31.8975	37.85375	46.71125	29.3675	92.3275	120.4388	51.2975	43.38875	16.80625	31.4125	11.7775	10.9425	24.68625	11.49375	31.5975	48.30125	94.275	20.1925	12.41125	38.615	39.83125	47.68625	64.7325	157.2263	152.4538	73.495	73.85125	51.14375	68.36875	30.83625	41.34375	118.1538	55.41625	71.27875	58.055	12.6975	70.21	148.0238	139.895	192.455	96.575	134.2738	195.2713	64.9025	44.005	25.69125	35.915	23.87625	60.275	56.44875	78.795	23.79375	25.68875	48.0125	115.1738	64.06875	58.42625
R35903	62.6625	49.99875	38.0875	73.07375	26.42875	20.8775	31.905	31.365	25.43875	40.29875	10.025	33.17	22.56	21.71375	52.8325	38.4	19.465	20.835	12.8175	25.245	51.65375	60.3375	11.48875	7.78125	9.21625	28.50375	21.80375	58.5025	56.3625	36.9475	43.14	6.46875	13.54625	33.27	16.04375	10.43625	44.61625	14.0425	23.0075	40.91875	25.48625	37.0225	29.84375	15.63125	46.1825	42.31	39.63875	34.55	28.01125	24.94625	26.95	35.3175	8.84875	66.09125	19.9925	8.33375	41.49625	13.93375	43.675	39.865	25.14	19.88
R36455	1327.692	1631.158	660.3547	762.0875	1131.964	956.5516	985.7516	830.7469	847.2047	2123.708	2748.616	1784.556	895.4891	786.5906	1615.994	547.1875	481.6922	395.9797	536.8813	1160.883	1800.577	2316.392	1176.636	429.5797	1048.005	871.4656	857.6797	1447.895	2478.963	2072.636	1925.281	907.8766	1066.68	1383.592	721.8781	717.2641	1394.847	645.9422	1530.516	1426.191	672.3	1593.833	2172.555	1662.111	2831.295	2534.553	2163.55	2166.256	2025.913	1406.756	1872.62	1725.219	1293.322	1580.673	1747.539	1457.28	1125.3	560.6375	1088.441	1963.03	1445.998	1513.619
R36467	102.12	125.6575	156.5238	83.44125	123.9863	116.24	95.8525	94.12375	99.7275	231.5438	311.2713	165.9488	105.5088	46.075	200.5388	87.40125	38.70375	23.32875	73.46875	115.675	111.5638	184.7713	73.84875	41.91	83.75	120.4763	151.3688	189.2438	470.7313	397.4438	623.78	155.87	97.0625	185.4212	83.205	84.49875	418.8225	76.58875	117.9913	74.71375	53.84375	107.695	277.635	209.9788	565.65	252.895	281.575	395.33	177.5813	211.2388	149.1913	98.67	86.73375	172.055	144.17	125.7538	260.2625	41.58875	121.8575	170.3725	127.4288	153.1738
R36644	91.84762	85.49405	103.8345	85.06548	130.1631	128.8024	126.8893	129.6786	151.8571	286.9488	571.5107	156.5214	72.07976	57.39048	104.0441	50.55476	8.82381	18.03809	79.10952	147.3452	146.981	200.0345	49.09643	23.14048	165.2869	90.80357	103.5845	178.175	398.7595	282.7226	191.3429	108.856	110.4738	194.0619	60.31786	69.28571	447.7548	57.43929	75.7381	67.99405	22.15595	110.225	194.8155	170.8833	247.281	151.5119	332.0131	300.5786	69.06191	98.67262	122.6702	99.55357	97.56191	112.0786	83.27857	69.31191	74.31429	13.61786	37.58333	69.42143	61.6131	65.37857
R36973	47.05882	105.1897	139.7471	129.2015	89.31471	88.96618	117.0838	193.9324	95.08235	252.2809	418.7103	116.2132	155.4735	142.3618	249.3427	71.29118	21.79853	40.36471	44.24706	108.0265	86.68529	188.8103	73.40147	45.39706	95.88529	78.85735	96.08529	147.7515	218.4735	142.4397	291.6515	65.46618	104.9338	116.4	72.87941	68.93824	204.4677	94.49265	67.28382	104.6824	47.61324	90.07647	268.7559	164.0368	295.5441	300.8559	228.1132	159.8471	116.625	97.14853	148.475	189.8294	146.0721	231.5177	99.86471	95.74412	144.475	50.82647	113.6044	139.9735	147.7677	94.41029
R36977	155.8575	137.1763	56.79375	48.6775	389.0875	71.19	147.7775	87.1575	1585.934	165.1838	1732.626	182.1087	359.0525	112.8125	373.41	74.49	304.9188	42.74875	423.93	119.165	175.1875	107.96	669.1263	27.56875	359.8325	177.345	95.22125	334.2638	313.7975	403.64	333.6488	336.5688	183.065	268.0888	247.2375	367.8025	191.3563	275.98	94.71125	330.1113	116.035	112.2675	273.95	569.2588	235.1363	614.4013	639.5963	143.2513	57.41375	194.3663	237.3425	662.9088	192.665	129.95	175.7575	121.9313	166.1763	483.1163	396.87	59.48875	176.19	167.1087
R37114	98.605	346.57	82.33	107.6613	70.47875	32.35125	176.5075	79.04125	168.6175	112.3175	761.0875	327.4763	129.69	38.1375	128.5238	34.53	69.415	48.37875	93.30375	75.705	173.0288	156.1663	49.08625	30.4625	149.835	422.4263	189.6975	253.095	360.1025	363.9563	163.98	303.9138	251.94	265.0275	229.8425	184.7488	401.8863	81.515	59.135	287.6375	117.9563	277.7188	564.3613	572.32	402.4663	1028.704	418.0913	294.0163	240.6575	147.8625	222.225	254.2463	131.005	131.9925	285.7275	127.6238	197.8363	170.4963	184.4263	135.4875	347.3175	166.6838
R37276_1	537.1625	738.5825	521.8625	434.61	617.8225	532.2625	613.975	700.745	670.45	1314.645	2455.633	928.1675	535.9825	334.7725	670.205	333.2225	209.61	164.375	326.2075	726.6075	861.4625	1025.313	393.4325	144.705	844.41	707.3625	695.9275	1199.265	2362.68	1750.988	1427.315	652.2025	751.6925	1024.797	486.24	375.1425	2448.873	419.1475	525.33	565.72	220.9975	669.75	1192.255	959.015	1750.97	1239.045	1601.423	1422.83	614.06	585.56	784.94	794.0225	496.8725	884.1775	633.0375	571.89	482.1775	248.1675	490.1475	749.91	432.92	630.9275
R37276_2	699.9306	1146.542	685.8347	659.7708	603.8944	649.6903	588.3083	958.9833	367.4528	1465.265	2343.16	1042.683	789.9806	776.8847	1233.104	366.1361	241.7583	245.9403	331.1264	674.9597	1068.035	1857.193	407.1292	138.8222	886.5764	676.1028	639.7764	1011.917	2010.431	1387.022	1799.554	694.4417	685.1069	876.1667	567.6472	399.9069	1707.632	469.7181	1209.413	948.6111	329.0306	1540.315	3026.494	1579.346	3254.551	2204.808	2510.608	2208.138	1481.442	1710.243	1438.075	1268.344	899.5306	1970.128	1135.964	1246.447	962.5056	410.9	856.6931	1722.519	763.5764	1488.238
R37428	189.06	195.1488	56.23375	99.49625	390.65	275.38	164.9275	243.735	726.3788	358.2875	1290.501	371.1513	274.0688	155.5863	382.9838	130.3363	145.7063	109.455	225.8688	272.3188	243.5475	221.405	417.23	76.36625	703.2813	261.0225	167.7888	530.1375	408.9088	514.9875	487.6738	264.9125	555.8088	852.4613	448.8675	652.5775	283.0775	573.2175	248.2325	460.7413	285.795	505.77	674.59	1019.769	559.4	1201.923	1325.079	375.4763	215.5213	399.2413	405.8213	1294.979	422.9038	348.6963	630.0975	406.9875	400.0575	257.3013	898.7288	217.7375	375.21	420.675
R37464	381.6738	394.5863	195.5163	321.4275	157.7788	102.1913	257.0188	188.015	615.895	226.8388	230.1238	432.9663	244.9463	167.2288	330.4725	287.1488	93.5525	98.74625	297.8625	91.0725	414.8425	331.7213	78.88875	60.30125	382.5088	451.01	263.8063	640.545	886.605	520.6163	545.9188	106.2188	152.835	374.65	433.65	209.8538	536.4525	310.1788	340.6288	422.1938	337.6862	330.51	438.2825	364.33	826.5338	578.5237	698.8863	456.3738	248.0413	331.535	328.4675	602.39	582.3263	504.2675	418.3063	254.31	391.0888	409.325	542.1938	411.67	285.0213	330.8588
R37480	143.18	175.0075	57.8575	101.6213	160.7475	82.79	150.7637	223.6363	168.5338	146.95	948.9563	335.61	134.8163	92.1175	369.005	123.685	97.31625	81.2025	177.6863	136.2513	145.9113	91.07	324.6638	35.25	567.9413	189.6725	117.3525	430.4513	243.34	347.0175	420.2513	197.1775	296.2663	367.2013	121.5863	346.9538	174.8663	367.7425	171.2988	634.96	179.215	301.9575	495.7788	1351.413	333.63	1181.681	1139.391	247.425	126.985	353.1862	438.615	635.3	337.5338	374.445	482.6075	259.0538	192.8688	217.06	298.8225	176.7213	469.4975	305.2538
R38513_1	199.8571	246.5571	217.7893	375.65	106.7429	147.1429	186.4179	196.475	198.9714	232.2821	139.1	348.1964	121.35	184.1607	264.8	190.1393	52.025	82.22143	141.2893	88.35714	247.5179	402.3071	68.82857	46.31071	315.1536	121.3107	135.0679	373.5464	396.2	304.5893	340.9929	60.55357	61.82143	266.0357	102.4821	60.96429	364.5143	49.76071	185.9357	211.0179	120.8857	301.0857	398.5929	142.0143	543.6214	261.1679	253.8071	193.3857	114.3536	253.1143	151.6571	276.4714	156.3536	431.2286	123.9643	123.4571	194.9929	110.2679	223.5321	252.5536	126.1643	169.3929
R38513_2	185.5643	286.575	198.4714	400.2964	107.1929	96.78214	138.3	214.9929	150.2036	225.4571	101.2143	355.2464	124.8143	179.8929	276.9357	174.0964	55.43929	89.87857	143.5964	73.91071	239.7143	329.9929	65.74643	28.31071	322.0321	88.28929	125.1	343.4393	376.0357	304.3607	343.975	51.16429	63.13571	273.0821	127.8857	65.98929	301.025	55.3	237.2214	229.6714	147.9857	349.7107	263.7286	147.9857	536.1607	209.7821	228.9357	258.7857	169.425	204.5607	184.3964	257.8821	115.425	405.4179	112.7857	141.625	80.65	94.96786	220.7929	253.3357	118.7893	215.3964
R38636	180.89	130.8775	99.935	118.0075	231.1513	271.4925	188.91	154.225	379.085	492.535	459.3375	319.6888	253.6538	149.8088	359.125	70.31625	162.4475	219.9738	205.5762	260.9425	226.8063	161.94	203.2688	71.56125	272.5938	104.9263	173.735	254.2925	347.6888	427.5238	671.6288	220.5525	313.7938	411.73	265.9663	420.7488	356.4488	222.2575	247.8213	182.9	126.5075	721.6013	256.1563	364.125	691.3025	494.3588	573.6925	373.67	131.4063	186.2725	149.7825	585.495	249.2738	335.8288	243.4738	424.4975	325.9025	77.33	217.495	125.975	198.0175	339.1525
R38736	55.16875	103.7713	15.0125	26.64125	66.865	37.09125	133.8563	228.4163	165.6163	153.2575	316.2088	124.285	106.9863	53.7225	172.9363	128.5175	48.74125	42.24	101.4912	77.01375	45.6975	80.1675	57.96625	20.35375	187.605	106.5275	65.2425	190.6138	90.4525	250.9975	147.5363	143.6	200.355	179.0638	112.0925	298.965	88.225	246.6325	95.9925	144.0313	82.455	171.9788	269.9838	457.3863	144.1438	490.4863	1201.829	92.24625	75.33375	133.745	129.2213	550.825	164.24	166.8013	187.3013	137.1663	93.83875	59.32875	145.3325	119.9738	129.215	139.7337
R38758	61.98333	62.47262	45.40238	87.95119	28.87857	30.25238	48.7131	65.52738	108.3667	35.67738	30.8381	89.57738	53.40714	30.8	59.11667	40.75238	20.1381	15.51071	37.74048	25.77262	76.47619	72.25714	21.42619	17.49881	55.96667	45.70595	51.61429	124.1476	136.6119	111.731	138.0738	20.01548	24.45833	83.96667	45.84524	27.80357	112.3024	26.87024	72.39286	57.54286	51.025	68.11905	84.94167	87.30357	129.6917	79.10952	64.16548	72.44881	50.08452	89.39167	41.96191	85.33929	49.14524	96.79643	64.37024	57.82976	131.5893	43.88333	50.53929	69.65357	52.26548	51.39881
R39010	504.6075	615.5063	1074.484	1304.305	454.6263	379.825	964.7338	507.5025	1254.451	714.6125	469.8013	944.7188	470.0813	309.5813	1033.451	754.5875	73.51625	83.17625	559.8025	385.4975	533.9463	573.805	134.5375	67.8125	511.0513	517.0287	596.2563	1036.245	969.3425	1194.558	1760.63	191.2363	344.5088	1136.39	373.4713	245.1338	1555.04	188.4088	225.1613	225.5838	145.0963	358.0113	394.2775	226.8513	326.79	23.245	530.79	692.6513	107.32	269.6913	189.1975	133.4688	241.2113	382.4713	118.055	110.2075	607.8913	84.18625	313.1075	220.19	153.83	96.2525
R39130	147.5288	159.6638	43.57375	99.35125	218.3925	188.9913	114.0713	174.14	175.6675	328.2438	570.415	347.035	121.6025	159.3188	247.0725	113.5363	87.2225	107.3063	236.4725	236.6838	180.3988	194.3575	247.4688	38.975	324.2813	97.36	79.23125	359.315	218.2588	227.9888	348.6575	230.3413	225.94	316.2088	235.4113	297.7613	228.8425	304.78	217.135	180.9825	112.8238	339.85	661.2638	427.355	427.6675	685.7925	696.3	350.0525	169.6463	430.3213	162.8775	377.9375	219.7163	331.6888	124.94	328.6688	283.14	81.92625	364.2775	85.43875	244.68	385.9775
R39144	70.96375	146.0063	60.2225	93.235	52.11625	34.545	77.9875	36.6	51.19	47.84625	62.3975	116.505	86.61625	59.0325	88.48875	73.62375	27.945	35.3675	68.1325	33.38375	86.87375	100.9225	38.97	21.52625	108.86	43.79125	55.035	118.0713	172.4075	115.9388	113.4863	28.56625	25.76125	134.2863	65.82875	49.22625	120.8038	41.03625	40.275	80.13	80.2825	65.67125	168.7375	139.3038	121.14	84.41875	112.86	132.64	45.82375	35.18625	115.7238	97.56375	96.59	173.0288	55.16625	32.9775	128.7538	75.965	68.0075	72.78875	70.02125	41.99
R39209_1	305.7861	241.3056	177.9444	289.2111	227.1444	174.5278	195.2361	459.8889	236.0056	239.0444	421.9389	224.6806	255.7944	234.6417	577.2861	304.2972	94.12778	234.9111	141.5583	174.7306	384.225	349.3778	236.2639	60.31944	78.6	35.26389	26.08611	96.32778	40.88889	53.75	60.15833	31.27778	18.25833	92.00556	47.84444	70.33611	72.89722	70.88889	138.7417	134.5583	37.31111	139.225	280.1889	299.3389	139	163.2944	471.7444	141.6722	45.15833	274.6833	107.3278	522.8083	104.3111	146.9417	98.48056	85.81111	342.65	48.325	200.3306	136.775	22.75	161.0528
R39209_2	202.67	182.6883	103.6483	161.855	146.4317	105.6517	121.8617	251.1017	127.3683	159.2017	304.2183	136.5983	175.57	161.7733	388.7567	148.3133	78.925	123.7683	104.0333	138.0117	217.8767	273.1417	139.0017	42.79667	42.89833	20.18667	25.90667	55.105	49.71167	62.47833	60.46167	16.77333	20.39833	58.98667	34.23	47.84	45.12833	53.93167	108.6833	66.415	40.44833	87.00833	156.51	187.485	101.86	134.5733	285.6283	82.90667	45.55333	194.98	108.4233	369.7333	61.08167	103.1083	55.505	76.44167	243.9383	25.54333	135.2483	87.06	24.30833	122.7117
R39465_1	5468.241	6719.53	6970.361	7823.534	3694.45	1960.655	3779.068	3156.159	7017.23	4740.768	3201.905	8411.861	5167.057	4735.793	5215.048	3619.532	2071.402	3237.777	3848.443	1752.396	6471.211	6658.109	2213.357	2119.111	5447.186	3744.989	3748.248	9785.775	9505.034	7565.616	8978.134	1383.489	2260.777	9852.298	3343.321	3139.311	10152.27	2425.627	5082.857	5502.716	5665.78	5202	3529.127	3377.393	6671.777	3651.991	5565.777	4127.498	3736.846	5346.648	4751.761	8278.918	6409.739	4984.098	3387.893	2912.307	6251.557	4173.918	6824.486	3472.125	4005.3	3653.934
R39465_2	4263.408	4883.449	5369.969	5955.835	3400.74	1566.315	3705.554	2870.255	4723.783	3318.514	2327.626	6042.84	4773.68	4075.123	4288.616	2606.5	1619.276	2341.086	3372.489	1280.324	5029.618	5316.396	1611.519	1595.409	4887.058	3528.834	3439.954	8605.044	7740.988	5735.2	7777.841	1269.649	1987.001	8178.965	2925.67	2958.403	7760.918	2228.818	4101.917	4590.134	5157.068	4079.634	2920.841	3048.433	6260.616	3302.928	4480.785	3635.695	2665.591	4254.118	4102.345	7316.104	6489.864	4585.899	2413.653	2124.989	4947.123	3668.534	5982.846	2559.463	3093.675	2728.216
R39531	85.0725	257.835	133.4363	221.6013	95.2975	59.5425	180.4725	110.7375	256.6288	90.46375	119.8675	359.8712	144.145	152.53	209.72	224.1975	25.31625	32.805	87.5325	25.74875	192.1225	162.5925	41.80875	31.6725	206.8463	178.4613	145.49	495.1388	295.6237	291.3588	296.54	40.36125	87.49375	329.87	146.7188	157.9663	176.7113	120.78	200.3587	202.015	257.9513	245.16	301.69	181.25	396.7188	232.2538	343.7275	305.53	119.1688	199.265	305.6413	293.6063	352.6588	273.6725	195.5275	135.6938	359.0413	152.0462	188.5213	186.5575	155.7863	157.3313
R39540	22.75625	21.32875	35.8925	51.58625	28.18375	62.945	21.53375	45.3	23.88875	55.8225	75.45375	87.52625	48.59625	52.82625	76.18625	37.09875	34.82375	31.81375	38.75625	72.29875	29.61125	33.4225	26.4975	15.33875	74.195	24.36875	24.3	48.8625	66.51375	74.22125	83.0725	30.815	24.72375	12.52625	21.3575	31.58	58.38125	55.595	74.925	42.34875	10.91	78.65875	161.3525	125.7	127.5313	147.3563	129.6425	61.7425	61.54125	70.48875	21.30625	42.33125	23.42	108.9838	41.805	79.76375	24.66625	18.40125	44.29375	11.3025	41.5025	81.4325
R39599	148.9429	173.6643	191.1274	85.01667	175.2131	140.7631	127.7976	220.3821	235.8964	353.8071	604.2179	226.0714	143.3655	66.11548	183.7679	82.34762	49.42381	31.01667	100.6476	220.8036	163.5691	199.5619	79.19167	50.09167	193.5738	151.1691	127.0893	185.056	543.3941	363.7048	269.0369	149.3893	159.0691	208.3488	53.27976	83.02143	620.5536	69.35833	119.6345	104.7048	41.11905	152.1048	217.3821	204.3798	309.2048	224.8548	343.4036	317.3036	93.10595	154.031	16.49643	65.75714	107.0286	93.09762	139.0774	105.6333	91.60833	38.14881	118.5179	161.0286	25.2	72.29286
R39681_1	276.245	381.9113	242.87	262.3775	253.1413	143.605	231.45	116.6663	686.1313	365.3525	391.6175	477.385	216.9538	81.58875	216.065	174.2938	112.0538	134.7975	277.4962	180.2275	287.4775	321.3188	140.7475	86.4575	191.2475	233.6875	195.2475	412.8675	623.5875	425.2913	508.2888	107.9913	124.0075	360.5463	143.8188	125.7213	576.8113	111.1075	417.4425	408.3038	297.2625	462.235	328.475	207.0188	616.9988	263.19	421.6738	394.5575	335.015	467.4563	343.535	464.0163	341.875	353.6688	278.3725	245.9875	407.6763	208.0288	397.4362	298.5488	347.005	290.0575
R39681_2	269.7214	323.4018	225.7304	283.5214	161.0536	125.6857	232.8589	188.8518	420.3143	211.1821	184.2357	350.925	168.6696	131.7625	265.0839	154.5214	70.68929	62.78929	172.0821	77.26429	263.0339	286.1321	80.38929	39.83929	357.8161	245.5393	207.6804	444.9804	810.8643	446.4357	583.8857	95.88214	113.7518	494.2857	177.6071	137.0554	876.7518	140.175	307.2304	267.075	247.3804	329.8107	414.4429	377.575	599.2125	372.6875	437.2554	398.5554	208.6429	239.2893	275.8464	395.8964	289.2054	363.3357	223.4946	141.8911	638.5196	196.5929	240.9625	244.4643	296.375	165.8393
R40184	278.3427	346.3206	403.0632	264.3823	250.7838	234.5177	271.025	276.3324	298.5044	785.9279	1068.899	476.1427	196.9059	219.7382	342.8838	110.2382	67.86324	39.00147	132.7632	303.1897	363.7559	604.225	154.5118	57.84706	271.2162	276.3765	279.6029	450.1397	866.15	558.3706	704.5985	215.4882	290.7721	387.9368	248.4397	226.3235	794.6706	198.8515	249.4721	326.1809	128.6721	329.1662	649.3088	391.6132	835.9927	763.9	747.4088	638.4985	389.6397	292.7941	518.4809	441.4794	250.5588	497.9618	379.7132	318.2074	385.3279	152.2338	223.5382	360.7206	324.2294	378.6529
R40446	62.64875	135.255	23.805	77.60125	87.65375	73.045	104.3413	138.4125	37.465	219.7675	452.6263	165.3	143.3963	101.09	143.8438	64.14625	26.5225	16.39125	42.9775	81.2675	136.68	193.2213	56.2475	20.3	87.63375	67.5025	93.1625	157.8363	231.855	141.7888	248.4963	55.735	108.06	124.4938	99.055	96.77875	75.06625	88.47875	46.57625	161.615	56.72125	73.77	323.9575	208.345	214.1713	345.13	160.3638	177.275	178.9638	75.085	243.4813	182.555	133.2988	266.4113	78.56875	64.16625	77.89125	37.98125	82.7475	135.1125	111.8513	136.4038
R40717_1	67.72813	217.2	41.01875	47.16875	121.3156	28.2375	79.76563	25.01563	50.25938	192.5563	622.725	66.27187	103.0656	38.92813	124.3219	32.12812	24.46875	31.85938	21.77813	57.27188	70.225	148.2906	64.69375	27.05	135.1156	171.8813	209.3625	255.1531	569.4969	259.2625	402.5	162.9781	226.7938	303.4406	90.5	247.1469	540.8344	237.1281	67.00313	105.4125	56.96563	95.06875	164.4563	625.7375	246.5313	291.2844	196.95	293.7375	243.1063	68.0375	242.2656	185.8813	88.04063	138.1594	137.7063	30.23125	53.9625	62.64063	57.15	222.3625	125.1469	136.4375
R40717_2	37.995	142.3925	45.39125	19.2225	123.2988	19.54625	37.4625	10.07875	31.4825	166.5563	512.335	75.90125	97.00625	30.80875	75.35	26.95875	34.9925	31.23375	12.80625	47.86875	18.7225	80.855	51.5275	30.31125	138.1575	155.1675	197.8925	259.3175	507.1725	236.1725	217.92	166.9512	158.235	291.4975	65.38	177.4875	508.745	212.46	51.5475	54.4975	29.2225	81.405	84.41375	545.6938	214.5738	198.1813	131.5263	291.7238	143.7675	71.5725	106.6688	76.44625	53.61	39.81375	172.6	20.60375	82.9475	49.61625	34.4825	136.1925	110.7225	79.51375
R41561	146.6188	164.625	16.6625	74.44375	90.565	51.0925	122.4813	114.905	77.69625	84.815	362.325	256.175	85.19	47.55125	8.575	15.7675	111.055	102.1663	77.22375	74.245	94.84	164.7675	46.8575	30.95375	70.645	86.53625	57.58625	83.435	125.2063	141.0163	123.8675	46.9575	20.78375	149.0038	56.01625	45.65625	32.35375	36.3725	81.76125	184.1488	52.2725	262.4613	236.395	254.1025	256.2738	334.0125	63.43625	102.97	171.195	141.6075	167.6738	243.7063	108.6113	98.31875	155.8813	150.885	84.05125	93.54125	99.61	125.5675	131.2525	172.0125
R41673	44.7325	118.2625	15.925	40.13125	80.00875	22.6125	32.72875	19.37125	50.7175	115.2688	181.815	75.56	71.87875	42.9375	50.36	20.61	25.64625	35.595	46.31875	55.60875	116.7425	139.145	52.3025	15.945	80.54375	66.5525	83.00625	103.7938	195.3613	172.0588	97.63	84.04125	40.67375	80.04625	45.29875	66.24875	91.25375	75.95875	85.39875	59.7725	29.8975	71.215	260.6338	293.6325	227.8213	170.0088	237.41	200.8688	80.71375	104.22	64.83375	75.35625	28.085	84.1275	59.505	99.01	21.29375	17.78	82.83625	135.65	70.6825	77.12875
R41765	44.48125	118.3788	48.795	29.65875	90.16125	35.7075	40.11125	63.95875	35.085	103.0213	352.4538	69.16875	95.35375	29.91375	59.62125	40.1475	13.52625	10.90875	29.0125	35.06875	68.68625	141.2888	28.30875	13.3875	82.85375	96.5	75.2625	130.2938	290.0338	165.1275	121.6438	120.8175	89.39625	124.3775	40.7775	63.61125	211.86	85.66125	52.36125	155.8	30.49	94.85125	250.24	317.7638	298.0063	196.6275	339.9613	280.5163	98.8025	122.86	78.155	69.49625	29.90875	74.39	82.49625	84.86875	40.21125	21.02125	55.63125	140.645	68.78375	72.93625
R41827	243.16	362.4238	123.475	133.8938	248.3413	148.1138	292.6	213.5288	280.5738	535.5625	1310.749	323.1925	281.2713	160.6625	246.4463	139.6087	113.215	97.01125	119.6463	236.5975	311.7975	515.1988	287.38	87.13875	340.6675	282.165	333.2513	522.2162	944.46	860.1725	712.3563	340.6837	328.0888	405.8763	212.825	253.405	680.1163	287.3112	293.5113	382.955	99.3125	290.8175	646.12	975.3	851.2225	630.89	1142.599	664.0263	336.6363	326.6513	454.5288	431.055	213.4075	269.7487	279.1963	260.5563	287.6513	122.955	504.0063	425.1	302.525	270.5363
R41866	379.7046	257.4841	193.7796	142.1477	169.7159	143.7364	278.7341	366.7432	345.2886	477.3523	1248.93	228.3886	145.7614	99.26818	253.2455	72.04546	57.08864	52.96136	111.6818	245.9136	342.0159	270.8296	58.82046	37.35	367.1114	231.6818	223.2068	584.3227	1279.857	702.3477	465.8546	314.9341	223.5977	392.7977	213.075	90.59546	1197.664	113.8568	95.87273	36.43182	44.43864	58.75455	188.1523	180.9114	547.1386	96.90227	187.0909	356.0977	81.94773	109.0636	73.03409	70.60909	27.76591	54.00455	75.69773	31.11364	81.78864	34.18182	37.37955	71.81818	32.83864	72.19091
R41873	114.21	182.1663	9.2125	24.895	133.695	35.245	101.8475	47.055	139.1738	140.5475	652.1925	96.56375	189.75	63.2925	77.03875	88.5875	121.2475	50.8225	158.62	81.24375	258.245	188.2813	105.32	24.1475	161.4413	275.16	279.0838	313.1313	834.435	509.8738	237.3238	240.7613	78.97	188.9413	125.6438	208.8125	477.3925	223.9575	91.9075	74.49	49.4425	67.25125	344.2375	580.0225	471.72	376.8675	521.8038	324.3788	82.3375	118.7925	83.65375	107.4113	28.31375	38.27125	15.315	53.44625	13.04875	30.8225	242.06	148.0013	66.5575	24.8875
